Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.130.187.234-13.231.159.253-1825-45676-6,13.231.159.253,45676,10.130.187.234,1825,6,18/10/2023 11:07:12 上午,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,2600,0,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.231.159.253-1825-45676-6,10.130.187.234,1825,13.231.159.253,45676,6,18/10/2023 11:07:12 上午,275,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,87272.72727272726,10909.090909090908,137.5,7.7781745930520225,143.0,132.0,132.0,132.0,0.0,132.0,132.0,0,0,0,0,0,0,0,0,0,40,20,7272.727272727272,3636.363636363636,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,507,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.231.159.253-2034-45676-6,13.231.159.253,45676,10.130.187.234,2034,6,18/10/2023 11:07:09 上午,14711949,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,1.6313270253995578,0.27188783756659296,4903983.0,8493923.466754278,1.4711921E7,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,40,40,0.13594391878329648,0.13594391878329648,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,512,1,0,28.0,0.0,28.0,28.0,1.4711921E7,0.0,1.4711921E7,1.4711921E7,No Label
10.130.187.234-13.231.159.253-2034-45676-6,10.130.187.234,2034,13.231.159.253,45676,6,18/10/2023 11:07:24 上午,169,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,142011.83431952665,17751.47928994083,84.5,31.81980515339464,107.0,62.0,62.0,62.0,0.0,62.0,62.0,0,0,0,0,0,0,0,0,0,40,20,11834.31952662722,5917.15976331361,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.231.159.253-2036-45676-6,13.231.159.253,45676,10.130.187.234,2036,6,18/10/2023 11:07:09 上午,14541420,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,1.6504577957310909,0.2750762992885151,4847140.0,8395445.12004724,1.4541365E7,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,40,40,0.13753814964425756,0.13753814964425756,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,508,1,0,55.0,0.0,55.0,55.0,1.4541365E7,0.0,1.4541365E7,1.4541365E7,No Label
10.130.187.234-13.231.159.253-2036-45676-6,10.130.187.234,2036,13.231.159.253,45676,6,18/10/2023 11:07:24 上午,251,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,95617.52988047809,11952.191235059761,125.5,21.920310216782973,141.0,110.0,141.0,141.0,0.0,141.0,141.0,0,0,0,0,0,0,0,0,0,40,20,7968.127490039841,3984.0637450199206,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-13.231.159.253-2042-45676-6,13.231.159.253,45676,10.130.187.234,2042,6,18/10/2023 11:07:14 上午,14503208,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,1.6548063021643211,0.27580105036072017,4834402.666666666,8373381.67951362,1.4503151E7,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,40,40,0.13790052518036008,0.13790052518036008,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,508,1,0,57.0,0.0,57.0,57.0,1.4503151E7,0.0,1.4503151E7,1.4503151E7,No Label
10.130.187.234-13.231.159.253-2042-45676-6,10.130.187.234,2042,13.231.159.253,45676,6,18/10/2023 11:07:29 上午,208,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,115384.61538461539,14423.076923076924,104.0,29.698484809834994,125.0,83.0,83.0,83.0,0.0,83.0,83.0,0,0,0,0,0,0,0,0,0,40,20,9615.384615384615,4807.692307692308,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-10.130.239.237-7680-56702-6,10.130.239.237,56702,10.130.187.234,7680,6,18/10/2023 11:07:37 上午,10231,2,3,75.0,0.0,75.0,0.0,37.5,53.033008588991066,0.0,0.0,0.0,0.0,7330.661714397419,488.71078095982796,2557.75,4914.034213352609,9927.0,0.0,0.0,0.0,0.0,0.0,0.0,10231.0,5115.5,7160.870373076167,10179.0,52.0,0,0,0,0,40,84,195.48431238393118,293.2264685758968,0.0,75.0,12.5,30.618621784789728,937.5,0,1,0,0,0,0,0,0,1.0,15.0,37.5,0.0,0,0,0,0,0,0,2,75,3,0,-1,511,1,0,0,0,0,0,0,0,0,0,No Label
10.130.187.234-10.130.239.237-7680-56702-6,10.130.239.237,56702,10.130.187.234,7680,6,18/10/2023 11:07:37 上午,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,6145,0,0,0,0,0,0,0,0,0,0,No Label
